"id","symbol","current_price","last_updated"
"bitcoin","btc","59441","11/21/2021"
"bitcoin","btc","57464","11/22/2021"
"bitcoin","btc","56930","11/23/2021"
"bitcoin","btc","56420","11/24/2021"
"bitcoin","btc","57739","11/25/2021"
"bitcoin","btc","57990","11/26/2021"
"bitcoin","btc","54445","11/27/2021"
"bitcoin","btc","54151","11/28/2021"
"bitcoin","btc","57340","11/29/2021"
"bitcoin","btc","56982","11/30/2021"
"bitcoin","btc","49393","12/12/2021"
"bitcoin","btc","49735","12/12/2021"
"bitcoin","btc","48999","12/13/2021"
"bitcoin","btc","47061","12/14/2021"
"bitcoin","btc","48384","12/15/2021"
"bitcoin","btc","48895","12/16/2021"
"bitcoin","btc","47881","12/17/2021"
"bitcoin","btc","46452","12/18/2021"
"bitcoin","btc","47795","12/19/2021"
"bitcoin","btc","46779","12/20/2021"
"bitcoin","btc","48192","12/21/2021"
"bitcoin","btc","49373","12/22/2021"
"bitcoin","btc","48721","12/23/2021"
"bitcoin","btc","51123","12/24/2021"
"bitcoin","btc","50946","12/25/2021"
"bitcoin","btc","49776","12/26/2021"
"bitcoin","btc","51083","12/27/2021"
"bitcoin","btc","49855","12/28/2021"
"bitcoin","btc","48134","12/29/2021"
"bitcoin","btc","46655","12/30/2021"
"bitcoin","btc","47308","12/31/2021"
"bitcoin","btc","46908","01/01/2022"
"bitcoin","btc","47382","01/02/2022"
"bitcoin","btc","46854","01/03/2022"
"bitcoin","btc","46432","01/04/2022"
"bitcoin","btc","46466","01/05/2022"
"bitcoin","btc","42718","01/06/2022"
"bitcoin","btc","43252","01/06/2022"
"bitcoin","btc","41471","01/07/2022"
"bitcoin","btc","41859","01/08/2022"
"bitcoin","btc","41961","01/09/2022"
"bitcoin","btc","42049","01/10/2022"
"bitcoin","btc","42335","01/11/2022"
"bitcoin","btc","42735","01/12/2022"
"bitcoin","btc","43573","01/13/2022"
"bitcoin","btc","42717","01/14/2022"
"bitcoin","btc","42980","01/15/2022"
"bitcoin","btc","43058","01/16/2022"
"bitcoin","btc","42705","01/17/2022"
"bitcoin","btc","42049","01/18/2022"
"bitcoin","btc","41772","01/19/2022"
"bitcoin","btc","42000","01/20/2022"
"bitcoin","btc","38765","01/21/2022"
"bitcoin","btc","36414","01/22/2022"
"bitcoin","btc","35123","01/23/2022"
"bitcoin","btc","35525","01/24/2022"
"bitcoin","btc","36527","01/25/2022"
"bitcoin","btc","37480","01/26/2022"
"bitcoin","btc","35698","01/27/2022"
"bitcoin","btc","37430","01/28/2022"
"bitcoin","btc","37828","01/29/2022"
"bitcoin","btc","37999","01/30/2022"
"bitcoin","btc","37060","01/31/2022"
"bitcoin","btc","38633","02/01/2022"
"bitcoin","btc","38573","02/02/2022"
"bitcoin","btc","36918","02/03/2022"
"bitcoin","btc","37397","02/04/2022"
"bitcoin","btc","41527","02/05/2022"
"bitcoin","btc","41546","02/06/2022"
"bitcoin","btc","42929","02/07/2022"
"bitcoin","btc","44242","02/08/2022"
"bitcoin","btc","43425","02/09/2022"
"bitcoin","btc","43827","02/10/2022"
"bitcoin","btc","45290","02/10/2022"
"bitcoin","btc","43237","02/11/2022"
"bitcoin","btc","42376","02/12/2022"
"bitcoin","btc","42331","02/13/2022"
"bitcoin","btc","41986","02/14/2022"
"bitcoin","btc","43632","02/15/2022"
"bitcoin","btc","44016","02/16/2022"
"bitcoin","btc","43562","02/17/2022"
"bitcoin","btc","40799","02/18/2022"
"bitcoin","btc","40189","02/19/2022"
"bitcoin","btc","39875","02/20/2022"
"bitcoin","btc","39076","02/21/2022"
"bitcoin","btc","36746","02/22/2022"
"bitcoin","btc","37842","02/23/2022"
"bitcoin","btc","35221","02/24/2022"
"bitcoin","btc","38952","02/25/2022"
"bitcoin","btc","39509","02/26/2022"
"bitcoin","btc","38661","02/27/2022"
"bitcoin","btc","37931","02/28/2022"
"bitcoin","btc","43170","03/01/2022"
"bitcoin","btc","44302","03/02/2022"
"bitcoin","btc","43427","03/03/2022"
"bitcoin","btc","41458","03/04/2022"
"bitcoin","btc","39140","03/05/2022"
"bitcoin","btc","39332","03/06/2022"
"bitcoin","btc","37912","03/07/2022"
"bitcoin","btc","38712","03/08/2022"
"bitcoin","btc","41524","03/09/2022"
"bitcoin","btc","40806","03/10/2022"
"bitcoin","btc","38717","03/11/2022"
"bitcoin","btc","39085","03/12/2022"
"bitcoin","btc","39229","03/13/2022"
"bitcoin","btc","38197","03/14/2022"
"bitcoin","btc","38749","03/15/2022"
"bitcoin","btc","39107","03/16/2022"
"bitcoin","btc","41042","03/17/2022"
"bitcoin","btc","40518","03/18/2022"
"bitcoin","btc","41794","03/19/2022"
"bitcoin","btc","41941","03/20/2022"
"bitcoin","btc","40871","03/21/2022"
"bitcoin","btc","42249","03/22/2022"
"bitcoin","btc","42154","03/23/2022"
"bitcoin","btc","42756","03/24/2022"
"bitcoin","btc","43945","03/25/2022"
"bitcoin","btc","44414","03/26/2022"
"bitcoin","btc","44660","03/27/2022"
"bitcoin","btc","46931","03/28/2022"
"bitcoin","btc","47321","03/29/2022"
"bitcoin","btc","47393","03/30/2022"
"bitcoin","btc","47099","03/31/2022"
"bitcoin","btc","44669","04/01/2022"
"bitcoin","btc","46594","04/02/2022"
