"id","symbol","current_price","last_updated"
"chainlink","link","28.04","11/21/2021"
"chainlink","link","27.5","11/22/2021"
"chainlink","link","26.92","11/23/2021"
"chainlink","link","26.31","11/24/2021"
"chainlink","link","26.39","11/25/2021"
"chainlink","link","26.25","11/26/2021"
"chainlink","link","24.5","11/27/2021"
"chainlink","link","23.43","11/28/2021"
"chainlink","link","24.88","11/29/2021"
"chainlink","link","24.79","11/30/2021"
"chainlink","link","19.73","12/12/2021"
"chainlink","link","19.58","12/12/2021"
"chainlink","link","19.6","12/13/2021"
"chainlink","link","18.01","12/14/2021"
"chainlink","link","18.35","12/15/2021"
"chainlink","link","19.93","12/16/2021"
"chainlink","link","19.08","12/17/2021"
"chainlink","link","18.5","12/18/2021"
"chainlink","link","20.03","12/19/2021"
"chainlink","link","18.89","12/20/2021"
"chainlink","link","18.88","12/21/2021"
"chainlink","link","19.79","12/22/2021"
"chainlink","link","20.64","12/23/2021"
"chainlink","link","22.14","12/24/2021"
"chainlink","link","21.63","12/25/2021"
"chainlink","link","21.25","12/26/2021"
"chainlink","link","23.08","12/27/2021"
"chainlink","link","22.3","12/28/2021"
"chainlink","link","20.92","12/29/2021"
"chainlink","link","19.31","12/30/2021"
"chainlink","link","20.05","12/31/2021"
"chainlink","link","19.81","01/01/2022"
"chainlink","link","21.04","01/02/2022"
"chainlink","link","21.39","01/03/2022"
"chainlink","link","23.1","01/04/2022"
"chainlink","link","25.61","01/05/2022"
"chainlink","link","23.61","01/06/2022"
"chainlink","link","24.4","01/06/2022"
"chainlink","link","23.44","01/07/2022"
"chainlink","link","26.49","01/08/2022"
"chainlink","link","27.09","01/09/2022"
"chainlink","link","27.79","01/10/2022"
"chainlink","link","28.4","01/11/2022"
"chainlink","link","26.71","01/12/2022"
"chainlink","link","26.13","01/13/2022"
"chainlink","link","25.29","01/14/2022"
"chainlink","link","26","01/15/2022"
"chainlink","link","24.98","01/16/2022"
"chainlink","link","24.96","01/17/2022"
"chainlink","link","23.73","01/18/2022"
"chainlink","link","22.45","01/19/2022"
"chainlink","link","21.85","01/20/2022"
"chainlink","link","19.36","01/21/2022"
"chainlink","link","17.35","01/22/2022"
"chainlink","link","15.66","01/23/2022"
"chainlink","link","16.14","01/24/2022"
"chainlink","link","15.47","01/25/2022"
"chainlink","link","15.63","01/26/2022"
"chainlink","link","14.49","01/27/2022"
"chainlink","link","15.4","01/28/2022"
"chainlink","link","16.11","01/29/2022"
"chainlink","link","16.44","01/30/2022"
"chainlink","link","16.88","01/31/2022"
"chainlink","link","17.43","02/01/2022"
"chainlink","link","17.04","02/02/2022"
"chainlink","link","15.71","02/03/2022"
"chainlink","link","16.12","02/04/2022"
"chainlink","link","17.96","02/05/2022"
"chainlink","link","18.03","02/06/2022"
"chainlink","link","18.57","02/07/2022"
"chainlink","link","19.07","02/08/2022"
"chainlink","link","17.97","02/09/2022"
"chainlink","link","18.1","02/10/2022"
"chainlink","link","18.25","02/10/2022"
"chainlink","link","17.34","02/11/2022"
"chainlink","link","16.17","02/12/2022"
"chainlink","link","15.99","02/13/2022"
"chainlink","link","15.39","02/14/2022"
"chainlink","link","16.46","02/15/2022"
"chainlink","link","17.02","02/16/2022"
"chainlink","link","17.05","02/17/2022"
"chainlink","link","15.91","02/18/2022"
"chainlink","link","15.38","02/19/2022"
"chainlink","link","15.01","02/20/2022"
"chainlink","link","15.11","02/21/2022"
"chainlink","link","13.29","02/22/2022"
"chainlink","link","13.88","02/23/2022"
"chainlink","link","12.38","02/24/2022"
"chainlink","link","13.37","02/25/2022"
"chainlink","link","14.57","02/26/2022"
"chainlink","link","14.14","02/27/2022"
"chainlink","link","13.62","02/28/2022"
"chainlink","link","14.93","03/01/2022"
"chainlink","link","15.51","03/02/2022"
"chainlink","link","15.15","03/03/2022"
"chainlink","link","14.3","03/04/2022"
"chainlink","link","13.72","03/05/2022"
"chainlink","link","13.8","03/06/2022"
"chainlink","link","12.85","03/07/2022"
"chainlink","link","12.93","03/08/2022"
"chainlink","link","13.9","03/09/2022"
"chainlink","link","13.72","03/10/2022"
"chainlink","link","12.97","03/11/2022"
"chainlink","link","13.31","03/12/2022"
"chainlink","link","13.37","03/13/2022"
"chainlink","link","12.73","03/14/2022"
"chainlink","link","13.22","03/15/2022"
"chainlink","link","13.79","03/16/2022"
"chainlink","link","14.65","03/17/2022"
"chainlink","link","14.17","03/18/2022"
"chainlink","link","14.92","03/19/2022"
"chainlink","link","14.95","03/20/2022"
"chainlink","link","14.47","03/21/2022"
"chainlink","link","15.53","03/22/2022"
"chainlink","link","15.29","03/23/2022"
"chainlink","link","15.63","03/24/2022"
"chainlink","link","16","03/25/2022"
"chainlink","link","15.69","03/26/2022"
"chainlink","link","15.99","03/27/2022"
"chainlink","link","16.74","03/28/2022"
"chainlink","link","16.88","03/29/2022"
"chainlink","link","17.29","03/30/2022"
"chainlink","link","17.3","03/31/2022"
"chainlink","link","16.46","04/01/2022"
"chainlink","link","17.3","04/02/2022"
"chainlink","link","17.5","04/03/2022"
"chainlink","link","17.67","04/04/2022"
