"id","symbol","current_price","last_updated"
"litecoin","ltc","224.12","11/21/2021"
"litecoin","ltc","214.96","11/22/2021"
"litecoin","ltc","210.69","11/23/2021"
"litecoin","ltc","210.62","11/24/2021"
"litecoin","ltc","219.63","11/25/2021"
"litecoin","ltc","217.67","11/26/2021"
"litecoin","ltc","197.93","11/27/2021"
"litecoin","ltc","189.02","11/28/2021"
"litecoin","ltc","198.89","11/29/2021"
"litecoin","ltc","202.64","11/30/2021"
"litecoin","ltc","156.7","12/12/2021"
"litecoin","ltc","157.42","12/12/2021"
"litecoin","ltc","154.46","12/13/2021"
"litecoin","ltc","145.49","12/14/2021"
"litecoin","ltc","150.4","12/15/2021"
"litecoin","ltc","153.18","12/16/2021"
"litecoin","ltc","149.99","12/17/2021"
"litecoin","ltc","146.68","12/18/2021"
"litecoin","ltc","154.32","12/19/2021"
"litecoin","ltc","155.03","12/20/2021"
"litecoin","ltc","154.6","12/21/2021"
"litecoin","ltc","156.57","12/22/2021"
"litecoin","ltc","157.82","12/23/2021"
"litecoin","ltc","165.85","12/24/2021"
"litecoin","ltc","161.47","12/25/2021"
"litecoin","ltc","153.77","12/26/2021"
"litecoin","ltc","156.75","12/27/2021"
"litecoin","ltc","151.14","12/28/2021"
"litecoin","ltc","148.83","12/29/2021"
"litecoin","ltc","145.28","12/30/2021"
"litecoin","ltc","148.47","12/31/2021"
"litecoin","ltc","148.12","01/01/2022"
"litecoin","ltc","150.32","01/02/2022"
"litecoin","ltc","149.83","01/03/2022"
"litecoin","ltc","148.06","01/04/2022"
"litecoin","ltc","148.63","01/05/2022"
"litecoin","ltc","133.83","01/06/2022"
"litecoin","ltc","135.63","01/06/2022"
"litecoin","ltc","129.52","01/07/2022"
"litecoin","ltc","132.28","01/08/2022"
"litecoin","ltc","130.88","01/09/2022"
"litecoin","ltc","130.32","01/10/2022"
"litecoin","ltc","129.38","01/11/2022"
"litecoin","ltc","131.74","01/12/2022"
"litecoin","ltc","139.66","01/13/2022"
"litecoin","ltc","138.76","01/14/2022"
"litecoin","ltc","147.44","01/15/2022"
"litecoin","ltc","146.11","01/16/2022"
"litecoin","ltc","148.41","01/17/2022"
"litecoin","ltc","147.47","01/18/2022"
"litecoin","ltc","137.4","01/19/2022"
"litecoin","ltc","139.16","01/20/2022"
"litecoin","ltc","123.54","01/21/2022"
"litecoin","ltc","113.28","01/22/2022"
"litecoin","ltc","106.98","01/23/2022"
"litecoin","ltc","109.3","01/24/2022"
"litecoin","ltc","108.38","01/25/2022"
"litecoin","ltc","108.95","01/26/2022"
"litecoin","ltc","103.94","01/27/2022"
"litecoin","ltc","108.21","01/28/2022"
"litecoin","ltc","109.78","01/29/2022"
"litecoin","ltc","109.65","01/30/2022"
"litecoin","ltc","105.77","01/31/2022"
"litecoin","ltc","111.42","02/01/2022"
"litecoin","ltc","114.5","02/02/2022"
"litecoin","ltc","107.97","02/03/2022"
"litecoin","ltc","109.12","02/04/2022"
"litecoin","ltc","121.47","02/05/2022"
"litecoin","ltc","122.64","02/06/2022"
"litecoin","ltc","127.56","02/07/2022"
"litecoin","ltc","141.09","02/08/2022"
"litecoin","ltc","134.44","02/09/2022"
"litecoin","ltc","137.21","02/10/2022"
"litecoin","ltc","140.14","02/10/2022"
"litecoin","ltc","132.13","02/11/2022"
"litecoin","ltc","124.6","02/12/2022"
"litecoin","ltc","126.1","02/13/2022"
"litecoin","ltc","123.52","02/14/2022"
"litecoin","ltc","128.18","02/15/2022"
"litecoin","ltc","129.42","02/16/2022"
"litecoin","ltc","126.26","02/17/2022"
"litecoin","ltc","116.94","02/18/2022"
"litecoin","ltc","116.41","02/19/2022"
"litecoin","ltc","113.73","02/20/2022"
"litecoin","ltc","113.32","02/21/2022"
"litecoin","ltc","101.95","02/22/2022"
"litecoin","ltc","106.46","02/23/2022"
"litecoin","ltc","98.83","02/24/2022"
"litecoin","ltc","104.99","02/25/2022"
"litecoin","ltc","111.49","02/26/2022"
"litecoin","ltc","105.9","02/27/2022"
"litecoin","ltc","103.48","02/28/2022"
"litecoin","ltc","112.7","03/01/2022"
"litecoin","ltc","113.9","03/02/2022"
"litecoin","ltc","110.48","03/03/2022"
"litecoin","ltc","107.64","03/04/2022"
"litecoin","ltc","101.25","03/05/2022"
"litecoin","ltc","104.08","03/06/2022"
"litecoin","ltc","99.12","03/07/2022"
"litecoin","ltc","100.51","03/08/2022"
"litecoin","ltc","106.04","03/09/2022"
"litecoin","ltc","104.57","03/10/2022"
"litecoin","ltc","101.05","03/11/2022"
"litecoin","ltc","106.33","03/12/2022"
"litecoin","ltc","106.89","03/13/2022"
"litecoin","ltc","102.04","03/14/2022"
"litecoin","ltc","104.93","03/15/2022"
"litecoin","ltc","106.61","03/16/2022"
"litecoin","ltc","110.16","03/17/2022"
"litecoin","ltc","108.63","03/18/2022"
"litecoin","ltc","112.21","03/19/2022"
"litecoin","ltc","116.41","03/20/2022"
"litecoin","ltc","114.3","03/21/2022"
"litecoin","ltc","119.45","03/22/2022"
"litecoin","ltc","120.18","03/23/2022"
"litecoin","ltc","120.9","03/24/2022"
"litecoin","ltc","126.39","03/25/2022"
"litecoin","ltc","124.25","03/26/2022"
"litecoin","ltc","126.26","03/27/2022"
"litecoin","ltc","130.05","03/28/2022"
"litecoin","ltc","128.98","03/29/2022"
"litecoin","ltc","127.92","03/30/2022"
"litecoin","ltc","131.52","03/31/2022"
"litecoin","ltc","121.11","04/01/2022"
"litecoin","ltc","126.34","04/02/2022"
"litecoin","ltc","124.97","04/03/2022"
"litecoin","ltc","125.72","04/04/2022"
"litecoin","ltc","125.19","04/05/2022"
"litecoin","ltc","120.19","04/06/2022"
"litecoin","ltc","114.39","04/06/2022"
"litecoin","ltc","111.92","04/07/2022"
"litecoin","ltc","114.53","04/08/2022"
"litecoin","ltc","111.11","04/09/2022"
