"id","symbol","current_price","last_updated"
"solana","sol","214.58","11/21/2021"
"solana","sol","220.64","11/22/2021"
"solana","sol","220.3","11/23/2021"
"solana","sol","217.82","11/24/2021"
"solana","sol","210.88","11/25/2021"
"solana","sol","205.92","11/26/2021"
"solana","sol","195.05","11/27/2021"
"solana","sol","186.98","11/28/2021"
"solana","sol","201.01","11/29/2021"
"solana","sol","203.07","11/30/2021"
"solana","sol","169.66","12/12/2021"
"solana","sol","170.12","12/12/2021"
"solana","sol","167.61","12/13/2021"
"solana","sol","153.88","12/14/2021"
"solana","sol","160.71","12/15/2021"
"solana","sol","178.84","12/16/2021"
"solana","sol","179.25","12/17/2021"
"solana","sol","174.38","12/18/2021"
"solana","sol","184.72","12/19/2021"
"solana","sol","178.54","12/20/2021"
"solana","sol","176.47","12/21/2021"
"solana","sol","179.88","12/22/2021"
"solana","sol","181.55","12/23/2021"
"solana","sol","187.86","12/24/2021"
"solana","sol","192.04","12/25/2021"
"solana","sol","191.56","12/26/2021"
"solana","sol","200.96","12/27/2021"
"solana","sol","190.33","12/28/2021"
"solana","sol","180.05","12/29/2021"
"solana","sol","170.28","12/30/2021"
"solana","sol","171.85","12/31/2021"
"solana","sol","173.13","01/01/2022"
"solana","sol","177.79","01/02/2022"
"solana","sol","172.69","01/03/2022"
"solana","sol","168.18","01/04/2022"
"solana","sol","169.18","01/05/2022"
"solana","sol","148.19","01/06/2022"
"solana","sol","149.79","01/06/2022"
"solana","sol","138.8","01/07/2022"
"solana","sol","139.54","01/08/2022"
"solana","sol","142.47","01/09/2022"
"solana","sol","140.85","01/10/2022"
"solana","sol","137.71","01/11/2022"
"solana","sol","140.49","01/12/2022"
"solana","sol","148.76","01/13/2022"
"solana","sol","147.96","01/14/2022"
"solana","sol","146.06","01/15/2022"
"solana","sol","147.1","01/16/2022"
"solana","sol","143.33","01/17/2022"
"solana","sol","139.07","01/18/2022"
"solana","sol","138.45","01/19/2022"
"solana","sol","137.31","01/20/2022"
"solana","sol","124.95","01/21/2022"
"solana","sol","110.03","01/22/2022"
"solana","sol","94.13","01/23/2022"
"solana","sol","92.82","01/24/2022"
"solana","sol","90.22","01/25/2022"
"solana","sol","94.82","01/26/2022"
"solana","sol","86.76","01/27/2022"
"solana","sol","92.58","01/28/2022"
"solana","sol","92.29","01/29/2022"
"solana","sol","94.64","01/30/2022"
"solana","sol","90.69","01/31/2022"
"solana","sol","107","02/01/2022"
"solana","sol","110.19","02/02/2022"
"solana","sol","97.77","02/03/2022"
"solana","sol","102.73","02/04/2022"
"solana","sol","114.41","02/05/2022"
"solana","sol","114.76","02/06/2022"
"solana","sol","119.27","02/07/2022"
"solana","sol","117.67","02/08/2022"
"solana","sol","111.46","02/09/2022"
"solana","sol","111.02","02/10/2022"
"solana","sol","111.68","02/10/2022"
"solana","sol","104.7","02/11/2022"
"solana","sol","96.93","02/12/2022"
"solana","sol","96.14","02/13/2022"
"solana","sol","93.47","02/14/2022"
