"id","symbol","current_price","last_updated"
"uniswap","uni","21.71","11/21/2021"
"uniswap","uni","20.95","11/22/2021"
"uniswap","uni","21.42","11/23/2021"
"uniswap","uni","21.8","11/24/2021"
"uniswap","uni","21.06","11/25/2021"
"uniswap","uni","20.93","11/26/2021"
"uniswap","uni","19.7","11/27/2021"
"uniswap","uni","18.99","11/28/2021"
"uniswap","uni","20.04","11/29/2021"
"uniswap","uni","20.1","11/30/2021"
"uniswap","uni","15.72","12/12/2021"
"uniswap","uni","15.71","12/12/2021"
"uniswap","uni","15.41","12/13/2021"
"uniswap","uni","14.2","12/14/2021"
"uniswap","uni","14.99","12/15/2021"
"uniswap","uni","15.18","12/16/2021"
"uniswap","uni","14.5","12/17/2021"
"uniswap","uni","15.42","12/18/2021"
"uniswap","uni","15.83","12/19/2021"
"uniswap","uni","14.78","12/20/2021"
"uniswap","uni","14.77","12/21/2021"
"uniswap","uni","15.4","12/22/2021"
"uniswap","uni","17.08","12/23/2021"
"uniswap","uni","17.65","12/24/2021"
"uniswap","uni","17.56","12/25/2021"
"uniswap","uni","16.86","12/26/2021"
"uniswap","uni","19.1","12/27/2021"
"uniswap","uni","18.71","12/28/2021"
"uniswap","uni","19.16","12/29/2021"
"uniswap","uni","16.9","12/30/2021"
"uniswap","uni","18.16","12/31/2021"
"uniswap","uni","17.22","01/01/2022"
"uniswap","uni","17.4","01/02/2022"
"uniswap","uni","18.32","01/03/2022"
"uniswap","uni","18.07","01/04/2022"
"uniswap","uni","18.57","01/05/2022"
"uniswap","uni","16.48","01/06/2022"
"uniswap","uni","16.67","01/06/2022"
"uniswap","uni","15.67","01/07/2022"
"uniswap","uni","15.95","01/08/2022"
"uniswap","uni","15.22","01/09/2022"
"uniswap","uni","15.78","01/10/2022"
"uniswap","uni","15.62","01/11/2022"
"uniswap","uni","16.26","01/12/2022"
"uniswap","uni","15.92","01/13/2022"
"uniswap","uni","15.72","01/14/2022"
"uniswap","uni","15.95","01/15/2022"
"uniswap","uni","16.48","01/16/2022"
"uniswap","uni","17.3","01/17/2022"
"uniswap","uni","16.74","01/18/2022"
"uniswap","uni","15.84","01/19/2022"
"uniswap","uni","15.42","01/20/2022"
"uniswap","uni","14.13","01/21/2022"
"uniswap","uni","12.48","01/22/2022"
"uniswap","uni","11.17","01/23/2022"
"uniswap","uni","10.96","01/24/2022"
"uniswap","uni","10.74","01/25/2022"
"uniswap","uni","10.76","01/26/2022"
"uniswap","uni","10.02","01/27/2022"
"uniswap","uni","10.43","01/28/2022"
"uniswap","uni","10.87","01/29/2022"
"uniswap","uni","11.05","01/30/2022"
"uniswap","uni","10.46","01/31/2022"
"uniswap","uni","11.59","02/01/2022"
"uniswap","uni","11.19","02/02/2022"
"uniswap","uni","10.41","02/03/2022"
"uniswap","uni","10.42","02/04/2022"
"uniswap","uni","11.49","02/05/2022"
"uniswap","uni","11.47","02/06/2022"
"uniswap","uni","11.82","02/07/2022"
"uniswap","uni","12.47","02/08/2022"
"uniswap","uni","11.79","02/09/2022"
"uniswap","uni","12.06","02/10/2022"
"uniswap","uni","11.87","02/10/2022"
"uniswap","uni","11.35","02/11/2022"
"uniswap","uni","10.83","02/12/2022"
"uniswap","uni","10.68","02/13/2022"
"uniswap","uni","10.28","02/14/2022"
"uniswap","uni","10.96","02/15/2022"
"uniswap","uni","11.2","02/16/2022"
"uniswap","uni","10.98","02/17/2022"
"uniswap","uni","10.43","02/18/2022"
"uniswap","uni","10.31","02/19/2022"
"uniswap","uni","9.79","02/20/2022"
"uniswap","uni","9.64","02/21/2022"
"uniswap","uni","8.32","02/22/2022"
"uniswap","uni","8.82","02/23/2022"
"uniswap","uni","8.02","02/24/2022"
"uniswap","uni","8.91","02/25/2022"
"uniswap","uni","9.33","02/26/2022"
"uniswap","uni","8.83","02/27/2022"
"uniswap","uni","9.75","02/28/2022"
"uniswap","uni","10.43","03/01/2022"
"uniswap","uni","10.48","03/02/2022"
"uniswap","uni","9.84","03/03/2022"
"uniswap","uni","9.16","03/04/2022"
"uniswap","uni","8.87","03/05/2022"
"uniswap","uni","8.8","03/06/2022"
"uniswap","uni","8.23","03/07/2022"
"uniswap","uni","8.56","03/08/2022"
"uniswap","uni","9.43","03/09/2022"
"uniswap","uni","9","03/10/2022"
"uniswap","uni","8.56","03/11/2022"
"uniswap","uni","8.76","03/12/2022"
"uniswap","uni","8.7","03/13/2022"
"uniswap","uni","8.27","03/14/2022"
"uniswap","uni","8.35","03/15/2022"
"uniswap","uni","8.66","03/16/2022"
"uniswap","uni","9.1","03/17/2022"
"uniswap","uni","9.06","03/18/2022"
"uniswap","uni","9.71","03/19/2022"
"uniswap","uni","9.59","03/20/2022"
"uniswap","uni","9.31","03/21/2022"
"uniswap","uni","9.79","03/22/2022"
"uniswap","uni","9.76","03/23/2022"
"uniswap","uni","10.04","03/24/2022"
"uniswap","uni","10.78","03/25/2022"
"uniswap","uni","10.56","03/26/2022"
"uniswap","uni","10.69","03/27/2022"
"uniswap","uni","11.44","03/28/2022"
"uniswap","uni","11.03","03/29/2022"
"uniswap","uni","11.15","03/30/2022"
"uniswap","uni","12.28","03/31/2022"
"uniswap","uni","11.15","04/01/2022"
"uniswap","uni","11.64","04/02/2022"
"uniswap","uni","11.94","04/03/2022"
"uniswap","uni","11.7","04/04/2022"
"uniswap","uni","11.83","04/05/2022"
"uniswap","uni","10.81","04/06/2022"
"uniswap","uni","10.29","04/06/2022"
"uniswap","uni","9.97","04/07/2022"
"uniswap","uni","10.48","04/08/2022"
"uniswap","uni","9.84","04/09/2022"
"uniswap","uni","10.07","04/10/2022"
"uniswap","uni","9.67","04/11/2022"
"uniswap","uni","9.12","04/12/2022"
"uniswap","uni","9.41","04/13/2022"
"uniswap","uni","9.72","04/14/2022"
"uniswap","uni","9.93","04/15/2022"
"uniswap","uni","9.73","04/15/2022"
"uniswap","uni","9.72","04/15/2022"
"uniswap","uni","9.73","04/15/2022"
"uniswap","uni","9.78","04/15/2022"
"uniswap","uni","9.78","04/16/2022"
"uniswap","uni","9.74","04/16/2022"
"uniswap","uni","9.72","04/16/2022"
"uniswap","uni","9.72","04/16/2022"
"uniswap","uni","9.72","04/16/2022"
"uniswap","uni","9.72","04/16/2022"
"uniswap","uni","9.59","04/16/2022"
"uniswap","uni","9.57","04/16/2022"
"uniswap","uni","9.64","04/16/2022"
"uniswap","uni","9.59","04/17/2022"
"uniswap","uni","9.29","04/18/2022"
"uniswap","uni","9.27","04/19/2022"
"uniswap","uni","9.41","04/20/2022"
"uniswap","uni","9.55","04/21/2022"
"uniswap","uni","9.02","04/22/2022"
"uniswap","uni","9.03","04/23/2022"
"uniswap","uni","9.06","04/24/2022"
"uniswap","uni","8.57","04/25/2022"
"uniswap","uni","8.71","04/26/2022"
"uniswap","uni","8.19","04/27/2022"
"uniswap","uni","8.24","04/28/2022"
"uniswap","uni","8.08","04/29/2022"
"uniswap","uni","7.75","04/30/2022"
"uniswap","uni","6.81","05/01/2022"
"uniswap","uni","7","05/02/2022"
"uniswap","uni","7.03","05/03/2022"
"uniswap","uni","6.99","05/04/2022"
"uniswap","uni","7.89","05/05/2022"
"uniswap","uni","7.33","05/06/2022"
"uniswap","uni","7.43","05/07/2022"
"uniswap","uni","7.05","05/08/2022"
"uniswap","uni","6.97","05/09/2022"
"uniswap","uni","6.15","05/10/2022"
"uniswap","uni","6.06","05/11/2022"
"uniswap","uni","4.62","05/12/2022"
"uniswap","uni","5.17","05/13/2022"
"uniswap","uni","5.13","05/14/2022"
"uniswap","uni","5.03","05/15/2022"
"uniswap","uni","5.2","05/16/2022"
"uniswap","uni","5.22","05/17/2022"
"uniswap","uni","5.34","05/18/2022"
"uniswap","uni","4.92","05/19/2022"
"uniswap","uni","5.2","05/21/2022"
"uniswap","uni","5.21","05/22/2022"
"uniswap","uni","5.39","05/23/2022"
"uniswap","uni","5.72","05/24/2022"
"uniswap","uni","5.7","05/25/2022"
"uniswap","uni","5.58","05/26/2022"
"uniswap","uni","4.91","05/27/2022"
"uniswap","uni","4.74","05/28/2022"
"uniswap","uni","4.83","05/29/2022"
"uniswap","uni","5.18","05/30/2022"
"uniswap","uni","5.6","05/31/2022"
"uniswap","uni","5.59","06/01/2022"
"uniswap","uni","5.3","06/03/2022"
"uniswap","uni","4.99","06/04/2022"
"uniswap","uni","5.06","06/05/2022"
"uniswap","uni","5.32","06/06/2022"
"uniswap","uni","5.08","06/07/2022"
"uniswap","uni","5.14","06/08/2022"
"uniswap","uni","5.12","06/09/2022"
"uniswap","uni","5.17","06/10/2022"
"uniswap","uni","4.89","06/11/2022"
"uniswap","uni","4.23","06/12/2022"
"uniswap","uni","3.92","06/13/2022"
"uniswap","uni","3.63","06/14/2022"
"uniswap","uni","3.69","06/15/2022"
"uniswap","uni","4.29","06/16/2022"
"uniswap","uni","3.82","06/17/2022"
"uniswap","uni","3.94","06/18/2022"
"uniswap","uni","3.59","06/19/2022"
"uniswap","uni","4.06","06/20/2022"
"uniswap","uni","4.4","06/21/2022"
"uniswap","uni","4.78","06/22/2022"
